

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = NA
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1416067_at	3343.15	P	0.000244141
1416068_at	8686.01	P	0.000244141
1416069_at	18521.4	P	0.000244141
1416070_a_at	2441.64	P	0.000244141
1416071_at	3964.67	P	0.000244141
1416072_at	4.29174	A	0.904785
1416073_a_at	2580.96	P	0.000244141
1416074_a_at	73257.6	P	0.000244141
1416075_at	1347.9	P	0.000732422
1416076_at	4511.02	P	0.000244141
1416077_at	18.652	A	0.601074
1416078_s_at	2620.79	P	0.000244141
1416079_a_at	3856.41	P	0.000244141
1416080_at	281.854	P	0.0461426
1416081_at	257.927	P	0.0141602
1416082_at	34877.9	P	0.000244141
1416083_at	3826.91	P	0.000244141
1416084_at	2346.49	P	0.00195313
1416085_s_at	9865.51	P	0.000244141
1416086_at	2719.21	P	0.000244141
1416087_at	3119.76	P	0.000244141
1416088_a_at	66305.7	P	0.000244141
1416089_at	46078.6	P	0.00415039
1416090_at	8866.37	P	0.000244141
1416091_at	1251.78	P	0.000244141
1416092_a_at	3415.62	P	0.000732422
1416093_a_at	6703.15	P	0.000244141
1416094_at	2714.83	P	0.000244141
1416095_x_at	10177.8	P	0.000244141
1416096_at	2177.59	P	0.000244141
1416097_at	9.34509	A	0.753906
1416098_at	162.018	A	0.27417
1416099_at	73082.4	P	0.000244141
1416100_at	11429.7	P	0.000244141
1416101_a_at	37195.3	P	0.000244141
1416102_at	18887	P	0.000244141
1416103_at	1975.21	P	0.000244141
1416104_at	1858.77	P	0.000244141
1416105_at	2413.58	P	0.000244141
1416106_at	4143.49	P	0.000244141
1416107_at	832.78	P	0.000244141
1416108_a_at	6863.63	P	0.000244141
1416109_at	8561.15	P	0.000244141
1416110_at	2332.82	P	0.000244141
1416111_at	9.53025	A	0.601074
1416112_at	17266.1	P	0.000244141
1416113_at	3399.27	P	0.00292969
1416114_at	4.81078	A	0.969727
1416115_at	2797.38	P	0.000732422
1416116_at	608.336	P	0.000244141
1416117_at	132.892	P	0.0302734
1416118_at	4097.18	P	0.000244141
1416119_at	41708	P	0.000244141
1416120_at	9615.81	P	0.00805664
1416121_at	76.3135	A	0.303711
1416122_at	31071.3	P	0.000732422
1416123_at	2041.1	P	0.000244141
1416124_at	3193.72	P	0.00292969
1416125_at	3489.3	P	0.000244141
1416126_at	906.966	P	0.000244141
1416127_a_at	3567.41	P	0.000244141
1416128_at	1424.42	P	0.000244141
1416129_at	1018.16	P	0.000244141
1416130_at	3533.45	P	0.000244141
1416131_s_at	5119.3	P	0.000244141
1416132_at	2117.55	P	0.000244141
1416133_at	2743.04	P	0.000244141
1416134_at	180.734	A	0.246094
1416135_at	4453.72	P	0.000244141
1416136_at	49.2503	A	0.466064
1416137_at	905.403	P	0.00585938
1416138_at	8606.18	P	0.000244141
1416139_at	170.588	P	0.00805664
1416140_a_at	2794.03	P	0.000244141
1416141_a_at	68156.5	P	0.000244141
1416142_at	8353.78	P	0.000244141
1416143_at	20560.5	P	0.000244141
1416144_a_at	24456.2	P	0.000244141
1416145_at	17169.1	P	0.000244141
1416146_at	33444.7	P	0.000244141
1416147_at	789.808	P	0.00805664
1416148_at	290.364	A	0.0952148
1416149_at	10.4394	A	0.888428
1416150_a_at	26205.4	P	0.000244141
1416151_at	1218.82	P	0.000244141
1416152_a_at	3342.9	P	0.000244141
1416153_at	9716.3	P	0.000244141
1416154_at	103.016	A	0.0805664
1416155_at	5624.07	P	0.000244141
1416156_at	668.845	P	0.000244141
1416157_at	128.547	M	0.0561523
1416158_at	1.91811	A	0.696289
1416159_at	39.7793	A	0.665527
1416160_at	5.1343	A	0.780518
1416161_at	17308.4	P	0.000244141
1416162_at	4260.41	P	0.000244141
1416163_at	4118.06	P	0.00195313
1416164_at	6.71191	A	0.888428
1416165_at	1053.52	P	0.000244141
1416166_a_at	6483.07	P	0.000244141
1416167_at	20842.7	P	0.000244141
1416168_at	8199.96	P	0.000244141
1416169_at	3.07705	A	0.5
1416170_at	3240.95	P	0.00585938
1416171_at	2522.56	P	0.000732422
1416172_at	4122.07	P	0.000244141
1416173_at	184.246	P	0.0375977
1416174_at	211.412	P	0.00292969
1416175_a_at	12275.4	P	0.000244141
1416176_at	12596.7	P	0.000244141
1416177_at	10056.9	P	0.000244141
1416178_a_at	40.1066	A	0.303711
1416179_a_at	10116.7	P	0.000732422
1416180_a_at	2820.73	P	0.000244141
1416181_at	3714.69	P	0.000244141
1416182_at	1128.88	P	0.00415039
1416183_a_at	319.258	P	0.0141602
1416184_s_at	1192.49	P	0.000732422
1416185_a_at	12012.3	P	0.000244141
1416186_at	6106.79	P	0.000244141
1416187_s_at	7159.82	P	0.000244141
1416188_at	26818.5	P	0.000244141
1416189_a_at	13942.1	P	0.000244141
1416190_a_at	2455.06	P	0.000244141
1416191_at	3607.88	P	0.0012207
1416192_at	536.34	P	0.000244141
1416193_at	16.5811	A	0.567627
1416194_at	87.4822	A	0.067627
1416195_at	2437.61	P	0.000732422
1416196_at	54.7576	A	0.19458
