

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1415946_at	890.5	P	0.00293
1415947_at	1114	P	0.000244
1415948_at	467.1	P	0.001953
1415949_at	41.2	A	0.219482
1415950_a_at	5847.2	P	0.010742
1415951_at	4.9	A	0.904785
1415952_at	2351.3	P	0.000244
1415953_s_at	272	P	0.001953
1415954_at	1.2	A	0.998779
1415955_x_at	77.9	A	0.27417
1415956_a_at	313.7	M	0.056152
1415957_a_at	1523.4	P	0.000244
1415958_at	210.4	A	0.366211
1415959_at	12.6	A	0.753906
1415960_at	6.4	A	0.625244
1415961_at	5797.9	P	0.000244
1415962_at	17780.5	P	0.000244
1415963_at	3966.1	P	0.000244
1415964_at	140.1	A	0.107178
1415965_at	23.9	A	0.129639
1415966_a_at	2207.4	P	0.000488
1415967_at	2668.6	P	0.001953
1415968_a_at	181.5	M	0.056152
1415969_s_at	31.3	A	0.19458
1415970_at	12327.3	P	0.000244
1415971_at	112.7	P	0.000244
1415972_at	44.9	A	0.111572
1415973_at	57.3	A	0.398926
1415974_at	1553.1	P	0.000244
1415975_at	218.3	P	0.010742
1415976_a_at	83.8	A	0.334473
1415977_at	1105.8	P	0.000244
1415978_at	19.9	A	0.303711
1415979_x_at	59322.9	P	0.000244
1415980_at	7857	P	0.000244
1415981_at	1698.7	P	0.000244
1415982_at	999	P	0.000244
1415983_at	19462.9	P	0.000244
1415984_at	2900.3	P	0.000244
1415985_at	2747.3	P	0.000244
1415986_at	2574.7	P	0.000244
1415987_at	1280.3	P	0.000244
1415988_at	56.6	A	0.27417
1415989_at	86.8	A	0.149658
1415990_at	7367.4	P	0.000244
1415991_a_at	2883.4	P	0.000732
1415992_at	690.4	P	0.001221
1415993_at	563.5	P	0.001953
1415994_at	29.6	A	0.366211
1415995_at	1230.1	P	0.000244
1415996_at	13303.4	P	0.000244
1415997_at	4363	P	0.000244
1415998_at	2364.3	P	0.000244
1415999_at	20	A	0.665527
1416000_a_at	6921.3	P	0.000244
1416001_a_at	3431.6	P	0.000732
1416002_x_at	4612	P	0.000244
1416003_at	10.5	A	0.52417
1416004_at	7644.4	P	0.000244
1416005_at	1736	P	0.000244
1416006_at	195.6	P	0.030273
1416007_at	18447.6	P	0.000244
1416008_at	13060.5	P	0.000244
1416009_at	612.1	P	0.000244
1416010_a_at	313.1	P	0.000244
1416011_x_at	210.1	P	0.023926
1416012_at	17.7	A	0.850342
1416013_at	2288	P	0.000732
1416014_at	2096.5	P	0.000244
1416015_s_at	3068.2	P	0.000244
1416016_at	3627.2	P	0.000732
1416017_at	843	P	0.030273
1416018_at	2420.2	P	0.000732
1416019_at	791.6	P	0.000244
1416020_a_at	2777.1	P	0.000244
1416021_a_at	1335.8	P	0.000732
1416022_at	426.4	P	0.001221
1416023_at	31	A	0.27417
1416024_x_at	9060	P	0.000244
1416025_at	3.2	A	0.991943
1416026_a_at	66719.7	P	0.000244
1416027_at	4631.2	P	0.000244
1416028_a_at	4274.6	P	0.000244
1416029_at	243.7	P	0.000244
1416030_a_at	1253.9	P	0.000244
1416031_s_at	1513.8	P	0.000244
1416032_at	513	P	0.005859
1416033_at	52.9	A	0.149658
1416034_at	130.1	P	0.00415
1416035_at	770.3	P	0.005859
1416036_at	6107.5	P	0.000244
1416037_a_at	12647.2	P	0.000244
1416038_at	1286	P	0.000244
1416039_x_at	59.8	A	0.095215
1416040_at	10	A	0.665527
1416041_at	3704.3	P	0.000244
1416042_s_at	2266.9	P	0.000244
1416043_at	7.1	A	0.753906
1416044_at	2735.5	P	0.000244
1416045_a_at	1151.7	P	0.000244
1416046_a_at	223.7	P	0.000244
1416047_at	31	A	0.334473
1416048_at	1420	P	0.000244
1416049_at	15.1	A	0.870361
1416050_a_at	170.8	P	0.000732
1416051_at	73	A	0.124756
1416052_at	2557.3	P	0.000244
1416053_at	3.3	A	0.904785
1416054_at	56324.8	P	0.000244
1416055_at	53.3	P	0.030273
1416056_a_at	10575.2	P	0.000244
1416057_at	9330.7	P	0.000244
1416058_s_at	14042.5	P	0.000244
1416059_at	2162.3	P	0.000244
1416060_at	3166.9	P	0.000244
1416061_at	2461.4	P	0.00293
1416062_at	332.1	P	0.001953
1416063_x_at	24.7	A	0.303711
1416064_a_at	13195.7	P	0.000244
1416065_a_at	6115.3	P	0.000244
1416066_at	2076.4	P	0.000244
1416067_at	2110.8	P	0.000244
1416068_at	2599.5	P	0.000244
1416069_at	2802.8	P	0.000244
1416070_a_at	2495.1	P	0.000732
1416071_at	2367.2	P	0.000244
1416072_at	23.7	A	0.5
1416073_a_at	1278.8	P	0.000244
1416074_a_at	72835.6	P	0.000244
1416075_at	529.2	P	0.00415
1416076_at	192.6	P	0.000244
1416077_at	4.1	A	0.822998
1416078_s_at	2237.7	P	0.000732
1416079_a_at	1015.3	P	0.000244
1416080_at	31.9	A	0.5
1416081_at	150.3	M	0.056152
1416082_at	6498.2	P	0.000244
1416083_at	2975.5	P	0.000244
1416084_at	286.2	P	0.037598
1416085_s_at	2717.9	P	0.000732
1416086_at	1942.6	P	0.000244
1416087_at	736.7	P	0.001953
1416088_a_at	67305.2	P	0.000244
